Aitken, Brett   (AUS)
Aïtoff, Vladimir   (FRA)
Ajete, Omar   (CUB)
Ajilore, Oluwafemi   (NGR)
Ajunwa, Chioma   (NGR)
Akabusi, Kriss   (GBR)
Akaishi, Kosei   (JPN)
Akar, Nasuh   (TUR)
Akasaka, Yuichi   (JPN)
Akbas, Hüseyin   (TUR)
Akdag, Vehbi   (TUR)
Akers, Michelle   (USA)
Akhaminova, Yelena   (URS)
Akhatova, Albina   (RUS)
Akhlaq Ahmad, Muhammad   (PAK)
Akhmedov, Bakhtiyar   (RUS)
Akhmerova, Leyla   (URS)
Akhremchik, Igor   (URS)
Akhtar, Gulrez   (PAK)
Akhtar, Naeem   (PAK)
Akhtar, Rasool   (PAK)
Akii-Bua, John   (UGA)
Akimenko, Vladislav   (URS)
Akimov, Anatoly   (URS)
Akimov, Vladimir   (URS)
Akkaev, Khadjimourad   (RUS)
Akobia, Marina   (RUS)
Akoyev, Artur   (URS)
Aksenova, Lyudmila   (URS)
Aksinin, Aleksandr   (URS)
Aksyonov, Nikolay   (RUS)
Al Deehani, Fehaid   (KUW)
al Eid, Khaled   (KSA)
Al Shami, Naser   (SYR)
Alachachyan, Armenak   (URS)
Alakhverdiyev, Arsen   (URS)
Alam, Noor   (PAK)
Alanovic, Vladan   (CRO)
Alatalo, Mika   (FIN)
Alatalo, Toimi   (FIN)
Albarelli, Fabio   (ITA)
Albarello, Marco   (ITA)
Albarran, Pierre   (FRA)
Albelda,    (ESP)
Alber, Reinhard   (FRG)
Alberani, Alberto   (ITA)
Alberdingk-Thijn, Mercedes   (ESP)
Albert, A   (FRA)
Albert, Auguste   (FRA)
Albert, Flórian   (HUN)
Albertsen, Georg   (DEN)
Albertsson, Bertil   (SWE)
Albiev, Islam-Beka   (RUS)
Albini, Abramo   (ITA)
Albrecht, Emile   (SUI)
Albrecht, Silvia   (GDR)
Albrecht Loretan, Brigitte   (SUI)
Albrechtson, John   (SWE)
Albright, Tenley   (USA)
Albritton, Dave   (USA)
Albul, Anatoly   (URS)
Albuquerque, Carolina   (BRA)
Aldair,    (BRA)
Aldama, Andrés   (CUB)
Alden, Cyril   (GBR)
Alderman, Frederick   (USA)
Alderson, Joan   (USA)
Alechine, Maxim   (RUS)
Alegre, David   (ESP)
Alegre, Ramon   (ESP)
Aleinikov, Evgueni   (RUS)
Alekna, Virgilijus   (LTU)
Alekperov, Vugar   (AZE)
Aleksandrov, Boris   (URS)
Aleksandrov, Rumen   (BUL)
Aleksandrov, Veniamin   (URS)
Aleksandrov, Vladimir   (URS)
Alekseyev, Vasily   (URS)
Alekseyeva, Galina   (URS)
Alekseyeva-Kreft, Galina   (URS)
Alessandroni, Hugh   (USA)
Aletter, Karl   (GER)
Alexander, Buffy   (CAN)
Alexander, Gustav   (GBR)
Alexander, Lisa   (CAN)
Alexander, Michael   (GBR)
AlexandraDumitru, Alina   (ROM)
Alexandre, Marc   (FRA)
Alexandru, Constantin   (ROM)
Alexe, Ion   (ROM)
Alexeev, Denis   (RUS)
Aleynik, Vladimir   (URS)
Alfeyeva, Lidiya   (URS)
Alford, Steve   (USA)
Alfredsson, Axel   (SWE)
Alfredsson, Daniel   (SWE)
Alfthan, Max   (FIN)
Algotsson, Håkan   (SWE)
Ali, Nasir   (PAK)
Ali Chaudry, Arshad   (PAK)
Ali-Khan, Emile   (FRA)
Aliabadi, Rahim   (IRI)
Alibert, Gaston   (FRA)
Alifirenko, Serguei   (RUS)
Alikin, Vladimir   (URS)
Aline,    (BRA)
Alipov, Alexei   (RUS)
Aliprantis, Georgios   (GRE)
Aliu, Deji   (NGR)
Aliychuk, Margarita   (RUS)
Allaert, Alphonse   (BEL)
Allagulova, Yuliya   (URS)
Allais, Emile   (FRA)
Allalou, Mohamed   (ALG)
Allam, Peter   (GBR)
Allamand, Olivier   (FRA)
Allan, Alister   (GBR)
Allemane, Pierre   (FRA)
Allen, Chad   (USA)
Allen, Kate   (AUS)
Allen, Kate   (AUT)
Allen, Ray   (USA)
Allen, Richard   (BIN)
Allen, Sandra   (AUS)
Allen, Scott   (USA)
Allen, Terry   (USA)
Allen, William   (USA)
Allen, Wyatt   (USA)
Allenby, Kate   (GBR)
Allers, Arthur   (NOR)
Allert, Ejler   (DEN)
Allhusen, Derek   (GBR)
Allison, Ian   (CAN)
Allman-Smith, Eric   (IRL)
Allochio, Antonio   (ITA)
Allucci, Carmela   (ITA)
Almaktoum, Ahmed   (UAE)
Almblad, Lotta   (SWE)
Almetov, Aleksandr   (URS)
Almeyda, Matias   (ARG)
Almgren, Gösta   (SWE)
Almighty Voice,    (CAN)
Almkvist, Erland   (SWE)
Almlöf, Erik   (SWE)
Almqvist, Göte   (SWE)
Almstedt, Percy   (SWE)
Alnevik, Folke   (SWE)
Alnoudji, Nicolas   (CMR)
Alozie, Glory   (NGR)
Alsgård, Thomas   (NOR)
Alshammar, Therese   (SWE)
Alshan, Andrey   (URS)
Alt, Robert   (SUI)
Altepost, Lutz   (GER)
Altimani, Fernando   (ITA)
Altwegg, Jeannette   (GBR)
Alupei, Angela   (ROM)
Alvares, Ana Ida   (BRA)
Alvarez, Cristian   (CHI)
Alvarez, José   (CUB)
Alvarez, José   (ESP)
Alverà, Renzo   (ITA)
Alves, Aloisio   (BRA)
Alves, Diego   (BRA)
Alvisi, Alessandro   (ITA)
Aly, Mohamed   (EGY)
Alyabyev, Anatoly   (URS)
Alyokhin, Nikolay   (URS)
Alypov, Ivan   (RUS)
Alzin, Joseph   (LUX)
Amadu, Mamood   (GHA)
Aman, Charles   (USA)
Amanar, Simona   (ROM)
Amankwah, Frank   (GHA)
Amann, Max   (GER)
Amantova, Ingrìda   (URS)
Amaral,    (BRA)
Amaral, Dante   (BRA)
Amarante, Catello   (ITA)
Amartey, Prince   (GHA)
Amat, Jaime   (ESP)
Amat, Jean Pierre   (FRA)
Amat, Juan   (ESP)
Amat, Pablo   (ESP)
Amat, Pedro   (ESP)
Amat, Santiago   (ESP)
Amato, Serena   (ARG)
Amavisca, José   (ESP)
Amaya,    (ESP)
Ambartsumyan, David   (URS)
Ambron, Amedeo   (ITA)
Ambrose, Efe   (NGR)
Ambrosetti, Bianca   (ITA)
Ambrosi, Christie   (USA)
Ambrosini, Ernesto   (ITA)
Ambrus, Miklós   (HUN)
Ameln, Robert   (SWE)
Amend, Rolf-Dieter   (GDR)
Amezola,    (ESP)
Amico-O'Brien, Leah   (USA)
Amiez, Sebastien   (FRA)
Amiragov, Slava   (URS)
Amitrano, Salvatore   (ITA)
Amlong, Joseph   (USA)
Amlong, Thomas   (USA)
Ammann, Simon   (SUI)
Ammermann, Max   (GER)
Ammermann, Otto   (FRG)
Amokachi, Daniel   (NGR)
Amonte, Tony   (USA)
Amoore, Edward   (GBR)
Amoore, Judith   (AUS)
Amosova, Sinaida   (URS)
Amoudruz, Gustave   (SUI)
Amoyan, Roman   (ARM)
Amphlett, Edgar   (GBR)
Ampler, Uwe   (GDR)
Amrhein, Albert   (GER)
Amson, Gaston   (FRA)
