Year,Name,,Voted By,Inducted As,Votes,% of Ballots
1999,Frank Selee\seleefr99,1859-1909,Veterans,Manager,,
1999,Smokey Joe Williams\willijo99,1885-1951,Veterans,Player,,
1999,Robin Yount\yountro01,1955-Living,BBWAA,Player,385.0,77.5%
1998,George Davis\davisge01,1870-1940,Veterans,Player,,
1998,Larry Doby\dobyla01,1923-2003,Veterans,Player,,
1998,Lee MacPhail\macphle99,1917-2012,Veterans,Pioneer/Executive,,
1998,Bullet Rogan\roganbu99,1893-1967,Veterans,Player,,
1998,Don Sutton\suttodo01,1945-Living,BBWAA,Player,386.0,81.6%
1997,Nellie Fox\foxne01,1927-1975,Veterans,Player,,
1997,Tom Lasorda\lasorto01,1927-Living,Veterans,Manager,,
1997,Phil Niekro\niekrph01,1939-Living,BBWAA,Player,380.0,80.3%
1997,Willie Wells\wellswi99,1905-1989,Veterans,Player,,
1996,Jim Bunning\bunniji01,1931-2017,Veterans,Player,,
1996,Bill Foster\fostebi99,1904-1978,Veterans,Player,,
1996,Ned Hanlon\hanlone01,1857-1937,Veterans,Manager,,
1996,Earl Weaver\weaveea99,1930-2013,Veterans,Manager,,
1995,Richie Ashburn\ashburi01,1927-1997,Veterans,Player,,
1995,Leon Day\dayle99,1916-1995,Veterans,Player,,
1995,William Hulbert\hulbewi99,1832-1882,Veterans,Pioneer/Executive,,
1995,Mike Schmidt\schmimi01,1949-Living,BBWAA,Player,444.0,96.5%
1995,Vic Willis\willivi01,1876-1947,Veterans,Player,,
1994,Steve Carlton\carltst01,1944-Living,BBWAA,Player,436.0,95.6%
1994,Leo Durocher\durocle01,1905-1991,Veterans,Manager,,
1994,Phil Rizzuto\rizzuph01,1917-2007,Veterans,Player,,
1993,Reggie Jackson\jacksre01,1946-Living,BBWAA,Player,396.0,93.6%
1992,Rollie Fingers\fingero01,1946-Living,BBWAA,Player,349.0,81.2%
1992,Bill McGowan\mcgowbi99,1896-1954,Veterans,Umpire,,
1992,Hal Newhouser\newhoha01,1921-1998,Veterans,Player,,
1992,Tom Seaver\seaveto01,1944-Living,BBWAA,Player,425.0,98.8%
1991,Rod Carew\carewro01,1945-Living,BBWAA,Player,401.0,90.5%
1991,Fergie Jenkins\jenkife01,1942-Living,BBWAA,Player,334.0,75.4%
1991,Tony Lazzeri\lazzeto01,1903-1946,Veterans,Player,,
1991,Gaylord Perry\perryga01,1938-Living,BBWAA,Player,342.0,77.2%
1991,Bill Veeck\veeckbi99,1914-1986,Veterans,Pioneer/Executive,,
1990,Joe Morgan\morgajo02,1943-Living,BBWAA,Player,363.0,81.8%
1990,Jim Palmer\palmeji01,1945-Living,BBWAA,Player,411.0,92.6%
1989,Al Barlick\barlial99,1915-1995,Veterans,Umpire,,
1989,Johnny Bench\benchjo01,1947-Living,BBWAA,Player,431.0,96.4%
1989,Red Schoendienst\schoere01,1923-Living,Veterans,Player,,
1989,Carl Yastrzemski\yastrca01,1939-Living,BBWAA,Player,423.0,94.6%
1988,Willie Stargell\stargwi01,1940-2001,BBWAA,Player,352.0,82.4%
1987,Ray Dandridge\dandrra99,1913-1994,Veterans,Player,,
1987,Catfish Hunter\hunteca01,1946-1999,BBWAA,Player,315.0,76.3%
1987,Billy Williams\willibi01,1938-Living,BBWAA,Player,354.0,85.7%
1986,Bobby Doerr\doerrbo01,1918-2017,Veterans,Player,,
1986,Ernie Lombardi\lombaer01,1908-1977,Veterans,Player,,
1986,Willie McCovey\mccovwi01,1938-Living,BBWAA,Player,346.0,81.4%
1985,Lou Brock\brocklo01,1939-Living,BBWAA,Player,315.0,79.7%
1985,Enos Slaughter\slaugen01,1916-2002,Veterans,Player,,
1985,Arky Vaughan\vaughar01,1912-1952,Veterans,Player,,
1985,Hoyt Wilhelm\wilheho01,1922-2002,BBWAA,Player,331.0,83.8%
1984,Luis Aparicio\aparilu01,1934-Living,BBWAA,Player,341.0,84.6%
1984,Don Drysdale\drysddo01,1936-1993,BBWAA,Player,316.0,78.4%
1984,Rick Ferrell\ferreri01,1905-1995,Veterans,Player,,
1984,Harmon Killebrew\killeha01,1936-2011,BBWAA,Player,335.0,83.1%
1984,Pee Wee Reese\reesepe01,1918-1999,Veterans,Player,,
1983,Walter Alston\alstowa01,1911-1984,Veterans,Manager,,
1983,George Kell\kellge01,1922-2009,Veterans,Player,,
1983,Juan Marichal\maricju01,1937-Living,BBWAA,Player,313.0,83.7%
1983,Brooks Robinson\robinbr01,1937-Living,BBWAA,Player,344.0,92.0%
1982,Hank Aaron\aaronha01,1934-Living,BBWAA,Player,406.0,97.8%
1982,Happy Chandler\chandha99,1898-1991,Veterans,Pioneer/Executive,,
1982,Travis Jackson\jackstr01,1903-1987,Veterans,Player,,
1982,Frank Robinson\robinfr02,1935-Living,BBWAA,Player,370.0,89.2%
1981,Rube Foster\fosteru99,1879-1930,Veterans,Manager,,
1981,Bob Gibson\gibsobo01,1935-Living,BBWAA,Player,337.0,84.0%
1981,Johnny Mize\mizejo01,1913-1993,Veterans,Player,,
1980,Al Kaline\kalinal01,1934-Living,BBWAA,Player,340.0,88.3%
1980,Chuck Klein\kleinch01,1904-1958,Veterans,Player,,
